Case Number,Uplink Bandwidth (kbps),Uplink Packet Loss (%),Uplink Jitter (ms),Downlink Bandwidth (kbps),Downlink Packet Loss (%),Downlink Jitter (ms),Resolution,IVS framerate,IVS PAUSE_RATE_200MS,IVS PAUSE_RATE_300MS,IVS PAUSE_RATE_500MS,IVS PAUSE_RATE_600MS,IVS Latency Median/SD (ms),RTC framerate,RTC PAUSE_RATE_200MS,RTC PAUSE_RATE_300MS,RTC PAUSE_RATE_500MS,RTC PAUSE_RATE_600MS,RTC Latency Median/SD (ms)
1,/,/,/,/,/,/,540p x30fps,30.06,0.0,0.0,0.0,0.0,325/11,30.32,0.0,0.0,0.0,0.0,168/23
1,/,/,/,/,/,/,720p x30fps,30.2,0.0,0.0,0.0,0.0,298/20,30.0,0.0,0.0,0.0,0.0,133/10
2,,5,,,,,720p x30fps,17.22,45.2,41.56,36.42,36.0,443/823,27.06,0.0,0.0,0.0,0.0,348/15
3,,10,,,,,720p x30fps,9.87,70.36,64.01,51.12,49.66,334/768,27.06,0.0,0.0,0.0,0.0,308/167
4,,20,,,,,720p x30fps,2.7,93.76,88.21,76.93,75.86,3077/3843,27.12,0.18,0.0,0.0,0.0,343/28
5,,30,,,,,720p x30fps,1.1,97.14,94.66,87.96,87.01,2509/3988,27.29,0.59,0.0,0.0,0.0,333/15
6,,50,,,,,720p x30fps,0.28,99.23,98.5,97.58,97.58,2417/2880,27.08,0.09,0.0,0.0,0.0,374/24
7,,,100,,,,720p x30fps,16.95,1.95,1.74,1.74,1.74,,27.35,0.0,0.0,0.0,0.0,432/41
8,,,300,,,,720p x30fps,8.37,25.39,12.73,4.92,3.81,551/766,26.7,0.24,0.0,0.0,0.0,501/117
9,,,600,,,,720p x30fps,6.34,40.77,26.86,11.77,8.94,,26.29,0.08,0.0,0.0,0.0,769/100
10,1000,10,,,,,720p x30fps,7.57,55.47,52.96,48.11,46.35,324/15807,9.42,6.45,0.71,0.0,0.0,399/21
11,,,,,5,,720p x30fps,15.66,0.19,0.0,0.0,0.0,268/14,29.22,0.11,0.0,0.0,0.0,348/12
12,,,,,10,,720p x30fps,15.45,1.3,0.15,0.0,0.0,,30.0,0.0,0.0,0.0,0.0,
13,,,,,20,,720p x30fps,25.79,5.92,1.9,0.0,0.0,,29.98,0.0,0.0,0.0,0.0,
14,,,,,30,,720p x30fps,22.51,14.15,4.51,0.6,0.38,,30.0,0.08,0.0,0.0,0.0,
15,,,,,50,,720p x30fps,13.1,47.6,27.78,8.0,3.78,659/176,29.98,0.0,0.0,0.0,0.0,398/47
15,,,,,50,,540p x30fps,,,,,,,600/45,,,,,
16,,,,,,100,720p x30fps,15.31,0.0,0.0,0.0,0.0,538/22,29.98,0.0,0.0,0.0,0.0,
17,,,,,,300,720p x30fps,14.89,1.42,0.47,0.47,0.47,643/55,29.79,0.26,0.0,0.0,0.0,590/54
18,,,,,,600,720p x30fps,12.31,14.88,2.5,0.0,0.0,657/75,29.51,0.1,0.0,0.0,0.0,
19,,,,1000,10,,720p x30fps,15.24,0.98,0.13,0.0,0.0,29861/15767,12.58,1.14,0.27,0.0,0.0,475/54
19,,,,1000,10,,540p x30fps,,,,,,,9957/6510,,,,,
